   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,             anchors
             0.43555,             0.29052,             0.26637,             0.10554,            0.071961,            0.028626,            0.030801,             0.00973,                0.01,             0.93343,             0.00041,              3.1494,             0.73525,             0.10139,             0.05906,             0.55649,             0.78865,             0.99622,             0.94923,                 0.2,              5.3471,                   0,             0.01344,             0.75386,             0.54115,                   0,             0.09095,             0.41498,                   0,                   0,                   0,                 0.5,             0.95535,                   0,                   0,              2.9004
             0.38793,             0.31436,              0.2707,            0.094908,            0.068174,            0.024971,            0.028217,             0.01242,                0.01,                0.98,             0.00046,              3.4651,             0.77664,             0.10031,             0.05769,             0.56772,             0.69963,              1.0154,             0.87096,                 0.2,              4.7397,                   0,             0.01367,             0.70601,             0.51742,                   0,             0.09905,             0.40536,                   0,                   0,                   0,                 0.5,             0.96973,                   0,                   0,              2.3637
             0.50534,             0.27971,             0.29431,             0.10842,             0.07233,             0.02507,            0.024533,             0.00751,             0.01021,             0.94561,             0.00041,              2.9421,             0.63564,             0.10031,             0.05838,             0.46668,             0.82664,             0.92543,             0.92126,                 0.2,              5.0903,                   0,             0.01209,             0.77102,             0.57911,                   0,             0.10033,             0.42511,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1762
             0.39313,             0.32468,             0.26389,             0.10267,            0.077568,            0.023101,            0.024512,             0.00751,             0.01081,             0.96258,             0.00042,              3.5491,             0.63159,             0.11138,             0.06348,             0.46668,             0.82664,             0.88897,             0.96664,                 0.2,              4.5373,                   0,             0.01179,             0.63796,             0.60941,                   0,             0.09639,             0.48869,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1762
             0.34977,              0.2879,             0.23858,            0.096469,            0.092225,            0.028234,            0.022976,             0.00764,             0.01127,             0.94561,             0.00048,              2.9421,             0.82162,             0.10031,             0.07711,             0.38558,             0.98634,              1.2081,             0.73768,                 0.2,              5.0903,                   0,             0.01186,             0.82454,             0.49264,                   0,             0.09921,              0.2972,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0139
             0.34733,             0.32807,             0.25435,             0.09942,            0.069221,            0.026487,            0.023354,             0.00751,             0.01024,             0.92776,             0.00041,              3.1394,             0.62168,             0.09655,             0.05624,             0.46247,             0.77958,             0.92955,              0.9314,                 0.2,              5.1965,                   0,             0.01173,             0.77102,             0.60319,                   0,             0.10529,             0.42511,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1762
             0.35479,             0.26232,             0.24251,            0.094249,            0.070941,            0.018824,            0.024171,             0.00819,             0.01057,             0.97925,              0.0004,              3.7627,             0.49097,             0.11877,             0.05838,             0.46668,             0.81259,             0.79633,             0.81734,                 0.2,              5.0903,                   0,             0.00816,             0.69354,             0.57911,                   0,             0.12055,               0.411,                   0,                   0,                   0,                 0.5,             0.90631,                   0,                   0,              5.3486
              0.3737,             0.31361,              0.2627,             0.10835,            0.078107,            0.028579,            0.022473,             0.00751,             0.01004,             0.94561,             0.00043,              2.9421,             0.67748,             0.11172,             0.06292,             0.43605,             0.82664,             0.91712,              0.9652,                 0.2,              6.3254,                   0,             0.01017,             0.58072,              0.5645,                   0,             0.08724,             0.42109,                   0,                   0,                   0,                 0.5,             0.99338,                   0,                   0,                   2
             0.42033,             0.28608,             0.23985,            0.092429,             0.09601,            0.014951,            0.015007,             0.01246,                0.01,             0.95533,             0.00057,              3.8083,             0.58763,               0.069,             0.07532,               0.303,             0.71767,             0.90669,             0.50483,                 0.2,              6.5218,                   0,             0.01427,             0.77102,             0.53414,                   0,             0.12108,             0.37699,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0676
             0.46001,             0.30879,              0.2931,              0.1128,            0.072142,            0.024181,            0.024609,             0.00751,             0.01024,             0.94587,             0.00041,               2.958,             0.63211,             0.10031,             0.05829,             0.46794,             0.82664,             0.91661,             0.92397,                 0.2,              5.0455,                   0,             0.01209,             0.77158,             0.57911,                   0,             0.10142,             0.42566,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1762
              0.4058,             0.29259,             0.26115,            0.094695,            0.072578,            0.022171,            0.027195,             0.00767,             0.01023,             0.94587,             0.00041,              3.1449,              0.6148,             0.09233,             0.06097,             0.46794,             0.97919,             0.91661,              0.9332,                 0.2,              3.9949,                   0,             0.01319,             0.85413,             0.57911,                   0,             0.09894,             0.46721,                   0,                   0,                   0,                 0.5,             0.82707,                   0,                   0,              2.9245
             0.33912,             0.28373,             0.22931,             0.08736,            0.080193,            0.021399,            0.024501,             0.00751,             0.01004,                0.98,             0.00033,              2.7097,             0.57095,             0.10031,             0.06693,             0.46794,             0.84177,             0.95493,             0.75863,                 0.2,              5.2814,                   0,             0.01405,             0.86948,             0.55622,                   0,             0.11559,             0.42566,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6426
             0.45712,             0.26039,             0.25388,            0.097993,            0.062345,            0.027222,            0.024927,             0.00735,             0.01024,             0.95352,             0.00041,              3.1288,             0.63834,             0.10297,             0.05151,             0.46794,             0.81853,              1.0242,             0.92971,                 0.2,              4.5563,                   0,             0.01107,             0.73091,             0.52419,                   0,             0.11617,             0.42566,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.5605
             0.49674,             0.24406,             0.24994,            0.093836,            0.078499,            0.026147,            0.038194,             0.00746,              0.0108,             0.94587,             0.00035,               3.099,             0.63211,             0.11801,             0.06678,             0.63783,             0.82303,              1.0302,             0.81526,                 0.2,              5.0455,                   0,             0.01337,             0.73362,             0.57997,                   0,             0.10142,             0.34947,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.0767
              0.4462,             0.25593,             0.24572,            0.094505,            0.070487,            0.022979,            0.029201,             0.00674,                0.01,             0.94587,             0.00041,              3.3969,             0.63211,             0.11619,             0.05829,             0.50244,             0.90701,             0.87682,             0.85258,                 0.2,              5.0455,                   0,             0.01072,              0.7878,             0.69982,                   0,             0.10142,             0.37724,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4585
             0.44508,             0.27927,             0.25748,             0.10746,            0.071344,            0.027235,            0.023978,             0.00735,                0.01,             0.94193,             0.00041,              2.9431,             0.63211,             0.10031,             0.05829,             0.46794,              0.8047,             0.95733,             0.95139,                 0.2,              4.7961,                   0,             0.01222,             0.77939,             0.59233,                   0,              0.0991,             0.43914,                   0,                   0,                   0,                 0.5,             0.96771,                   0,                   0,               3.243
             0.36052,             0.29383,             0.26561,              0.1041,            0.071906,            0.017389,            0.022231,             0.00746,             0.01058,             0.91032,             0.00044,              3.4888,             0.63211,             0.10998,             0.05829,             0.46794,             0.83047,              0.9158,             0.58843,                 0.2,              5.9448,                   0,             0.01209,             0.77158,             0.73214,                   0,             0.11165,             0.41595,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              5.9242
             0.45338,             0.27781,             0.26885,             0.10582,            0.069616,            0.025224,            0.025016,             0.00751,             0.01016,             0.94587,             0.00042,              3.2461,              0.6269,             0.10031,             0.05829,             0.47119,             0.83944,             0.91661,             0.91338,                 0.2,              5.1603,                   0,             0.01217,             0.78504,             0.57805,                   0,             0.10142,             0.40809,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.4651
             0.36485,             0.27453,             0.21525,            0.083599,            0.074179,            0.024697,            0.023854,             0.00711,                0.01,             0.97646,             0.00041,              3.1204,             0.65409,             0.09648,             0.06157,             0.47763,             0.69169,             0.89909,             0.94325,                 0.2,              5.0947,                   0,             0.01144,             0.74466,              0.5893,                   0,             0.11135,             0.45511,                   0,                   0,                   0,                 0.5,             0.84318,                   0,                   0,              3.1203
             0.39669,             0.25302,             0.22403,            0.093068,            0.072285,            0.031551,            0.025436,             0.00699,                0.01,             0.96722,             0.00036,              2.8354,             0.67026,             0.10232,             0.05864,             0.51329,             0.71027,              1.0121,              1.0625,                 0.2,              5.0455,                   0,             0.01297,             0.76818,             0.48847,                   0,             0.09093,             0.42566,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              2.6174
             0.38151,             0.29681,             0.26547,            0.099207,            0.069223,            0.024982,            0.025592,             0.00743,             0.01022,             0.95001,             0.00042,               3.023,             0.63211,             0.10031,             0.05868,             0.46976,              0.8408,             0.92873,             0.92103,                 0.2,               5.087,                   0,             0.01199,             0.77932,             0.57315,                   0,             0.10252,             0.43884,                   0,                   0,                   0,                 0.5,                   1,                   0,                   0,              3.1762
